OBJECTID,Company,Address,City,State,ZipCode,Better_Lat,Better_Long,SquareFeet,Common_Name,Notes,PHONE,FAX,EMAIL,WEBSITE,DIG_MEMBER,Data_Source,Centroid_X,Centroid_Y,ORIG_FID
108,Savon Food Store,15025 W 7 Mile Rd,Detroit,MI,48235,,,15612.5661963994,Savon Food Store,Data Verified by PH - 5/25/2012,(313) 838-5577,(313) 838-0682,,,Yes,NETS/Devries,-83.1942144049158,42.4303331901605,108
109,Savon Foods Superstore,18000 Livernois Ave,Detroit,MI,48221,,,23050.9146011368,Savon Foods Superstore,Data Verified by PH - 5/25/2012,(313) 862-8700,(313) 862-1822,savonfoods18000@aol.com,http://savonfoodssupermarket.com/,Yes,NETS/Devries,-83.140692948031,42.4230056872347,109
110,Seven Mile Foods,8139 E 7 Mile Rd,Detroit,MI,48234,,,17654.6217093066,Seven Mile Foods,Data Verified by PH - 5/25/2012,(313) 893-8888,(313) 893-2704,raywatha@aol.com,http://sevenmilefoods.com/,Yes,NETS/Devries,-83.0216930266726,42.4342873524514,110
111,Seven Star Food Center,11500 E McNichols Rd,Detroit,MI,48205,,,12419.6564281073,Seven Star Food Center,Data Verified by PH - 5/25/2012,(313) 372-8430,(313) 372-3850,sevenstarfood@yahoo.com,http://sevenstarfood.com/,Yes,NETS/Devries,-83.0052412188339,42.4197102353346,111
112,Super Fair Foods,7009 W 7 Mile Rd,Detroit,MI,48221,,,10951.1145447481,Super Fair Foods,Data Verified by PH - 5/25/2012,(313) 863-3944,(313) 863-3820,,,No,NETS/Devries,-83.1433421763774,42.4312913474304,112
113,Thrifty Scot Super Market,12021 Harper Ave,Detroit,MI,48213,,,15512.835098575,Thrifty Scot Super Market,Data Verified by PH - 5/25/2012,(313) 527-0050,(313) 527-0188,thriftyscotmkt@aol.com,http://thriftyscotsupermarket.com/,Yes,NETS/Devries,-82.9839349674796,42.3994814242928,113
114,U.S. Quality Super Market,15690 Joy Rd,Detroit,MI,48228,,,47004.0924910863,U.S. Quality Super Market,Data Verified by PH - 5/25/2012,(313) 837-9777,(313) 837-9778,usquality@aol.com,,Yes,NETS/Devries,-83.1992816240779,42.3594277618706,114
115,Value Save Super Store,14470 Livernois Ave,Detroit,MI,48238,,,90709.4870048434,Value Save Super Store,Data Verified by PH - 5/25/2012,(313) 861-8797,(313) 861-0999,,http://valuesavefoodcenter.com/,Yes,NETS/Devries,-83.1374782047191,42.3960204477093,115
116,Vernor Food Center,8801 W Vernor Hwy,Detroit,MI,48209,,,6890.61805124082,Vernor Food Center,Data Verified by JL - 7/15/2013,(313) 849-5944,(313) 849-5970,vernorfood@sbcglobal.net,,No,NETS/Devries,-83.1335136083236,42.308615744154,116
117,Lance's Hometown Market,8656 Wyoming,Detroit,MI,48204,,,14000.7357018054,Lance's Hometown Market,Data Verified by PH - 5/25/2012,(313) 931-2000,,,,,NETS/Devries,-83.1571089565294,42.3586809315003,117
118,Save-A-Lot Store #24719,20427 Plymouth Rd,Detroit,MI,48228,,,49929.6818231845,Save-A-Lot Store #24719,Data Verified by PH - 5/25/2012,(313) 273-7500,,,http://savealot.com/,,Paul Horbal,-83.240557394735,42.3714190509595,118
119,Tom Boy Supermarket,4120 Second St,Detroit,MI,48201,,,7765.67760331609,Tom Boy Supermarket,Data Verified by PH - 5/25/2012,(313) 831-7071,,,,,NETS/Devries,-83.0650466364678,42.3492369948906,119
120,Eve's Downtown Gourmet,1411 Washington Blvd,Detroit,MI,48226,,,3070.29050359962,Eve's Downtown Gourmet,Area approximated.  Frontage exact.  Depth rough.,(313) 964-4100,,,,,Rob Linn,-83.0514372498569,42.3339304700145,120
122,Whole Foods Market,115 Mack Ave,Detroit,MI,48201,,,,Whole Foods Market,,(313) 576-5300,,,Wholefoodsmarket.com,,Josh,,,
123,Meijer,1301 W. 8 Mile Rd,Detroit,MI,48203,,,,Meijer,,,,,,,Josh,,,
124,Ye Olde Butcher Shoppe,3100 Woodward Ave,Detroit,MI,48201,,,,Ye Olde Butcher Shoppe,,(313) 974-7356,,, yeoldebutchershoppedetroit.com,,Josh,,,
